entity_id,entity_type,home_city,home_country,typical_resources,usual_ips,active_hours,avg_session_minutes,device_os,device_mac,protocol
u_0045,user,Dubai,UAE,endpoint:/admin/config;/api/v1/orders;files/reports/Q1.xlsx,136.150.232.130;155.220.50.204;180.58.110.111,8-16,15.13,Android 15,E8:CC:D4:30:A0:DA,MQTT
u_0046,user,Bangalore,India,vpn:gateway_1;/api/v1/orders;printer:office_3;bucket:s3-backups;repo:backend-service,16.168.62.106;91.216.26.248;74.159.180.27,8-15,24.16,EmbeddedLinux 5.1,6C:4F:F6:72:37:B3,RDP
u_0047,user,Sydney,Australia,dashboard:grafana;repo:backend-service;file:/home/shared/contracts,213.136.14.47;70.158.173.90;2.92.73.145,6-15,19.91,Windows 11,2E:6E:C0:D6:E8:AE,SSH
u_0048,user,Sydney,Australia,files/reports/Q1.xlsx;printer:office_3;/api/v1/users;vpn:gateway_1;repo:backend-service,70.226.217.125,6-15,18.83,EmbeddedLinux 5.1,E2:D4:8B:6E:3A:B0,Modbus/TCP
u_0049,user,London,UK,endpoint:/api/v2/payments;/api/v1/users;files/hr/payroll.csv;file:/home/shared/contracts;vpn:gateway_1,78.108.70.196,20-5,21.69,Windows 11,FE:DC:59:42:C2:75,RDP
u_0050,user,Cape Town,South Africa,/api/v1/orders;file:/home/shared/contracts;/api/v1/users;dashboard:grafana;vpn:gateway_1,182.213.148.30;104.10.166.44,9-18,30.91,EmbeddedLinux 5.1,EB:B9:2D:DF:36:7C,Modbus/TCP
u_0051,user,Beijing,China,endpoint:/api/v2/payments;repo:frontend-app;email:exchange-server;files/hr/payroll.csv;bucket:s3-backups;files/reports/Q1.xlsx,30.99.178.90;187.75.120.27;38.131.101.45,20-5,8.48,Windows 10,5A:FC:ED:E5:A5:A1,SSH
u_0052,user,Dubai,UAE,endpoint:/api/v2/payments;repo:backend-service;endpoint:/admin/config,80.236.231.10,8-17,11.86,Windows 11,BC:92:27:2E:C4:EC,RDP
u_0053,user,Cape Town,South Africa,file:/home/shared/contracts;email:exchange-server;endpoint:/api/v2/payments,27.175.43.130;166.88.20.64,7-14,13.92,FirmwareOS 4.0,51:BA:BE:90:C6:D1,MQTT
u_0054,user,Seoul,South Korea,endpoint:/api/v2/refunds;/api/v1/orders;dashboard:kibana,219.76.170.21;150.72.179.80;168.200.66.153,8-16,1.0,Windows 10,9E:C0:A8:41:2F:D8,RDP
u_0055,user,Sydney,Australia,email:exchange-server;files/hr/payroll.csv;vpn:gateway_1,36.79.39.76,9-16,24.58,FirmwareOS 4.0,13:AC:43:C0:4E:53,SSH
u_0056,user,Seoul,South Korea,bucket:s3-backups;email:exchange-server;endpoint:/api/v2/refunds;repo:frontend-app,193.229.119.137;62.158.240.232,9-18,18.17,Ubuntu 24.04,BC:E1:EC:90:C3:D6,SSH
u_0057,user,Mumbai,India,/api/v1/orders;endpoint:/api/v2/refunds;dashboard:grafana;email:exchange-server;dashboard:kibana;vpn:gateway_1;repo:frontend-app,70.230.75.213,8-15,1.0,Ubuntu 24.04,E6:B2:0D:D4:1B:CA,RDP
u_0058,user,Sydney,Australia,repo:frontend-app;files/hr/payroll.csv;/api/v1/users;email:exchange-server,10.146.241.179,8-15,31.26,macOS 15,F0:E5:02:28:09:83,SSH
u_0059,user,Paris,France,endpoint:/api/v2/payments;files/hr/payroll.csv;endpoint:/admin/config;/api/v1/orders;/api/v1/users;printer:office_3;file:/home/shared/contracts,215.255.8.162,9-16,14.59,macOS 15,95:DB:00:B4:7B:D5,SSH
u_0060,user,Chicago,USA,/api/v1/users;file:/home/shared/contracts;bucket:s3-backups;dashboard:grafana;vpn:gateway_1;endpoint:/api/v2/refunds;printer:office_3,92.34.176.62,8-17,21.28,Windows 10,AA:44:16:B4:AD:59,SFTP
u_0061,user,Dubai,UAE,files/reports/Q1.xlsx;repo:frontend-app;repo:backend-service;dashboard:grafana;/api/v1/users;endpoint:/admin/config,80.203.242.65;10.97.146.92,7-14,24.03,Android 15,8B:3F:BC:DF:CC:E1,Modbus/TCP
u_0062,user,Tokyo,Japan,vpn:gateway_1;email:exchange-server;repo:backend-service;dashboard:kibana,21.220.92.140;76.164.52.21,6-15,19.62,Android 15,97:9C:E4:DA:55:E3,MQTT
u_0063,user,Dubai,UAE,bucket:s3-backups;endpoint:/admin/config;endpoint:/api/v2/refunds,164.207.186.132;206.81.15.37;218.224.17.33,6-13,37.84,Android 15,B9:C4:10:4E:E6:BD,MQTT
u_0064,user,Dubai,UAE,repo:frontend-app;file:/home/shared/contracts;email:exchange-server,189.95.255.133,7-14,29.12,RHEL 9,3C:86:85:E4:6D:92,SFTP
u_0065,user,Toronto,Canada,files/reports/Q1.xlsx;dashboard:grafana;vpn:gateway_1;repo:frontend-app,171.177.33.141;139.148.153.218,6-15,30.63,macOS 15,B9:72:3E:66:47:79,Modbus/TCP
u_0066,user,New York,USA,endpoint:/admin/config;endpoint:/api/v2/payments;/api/v1/orders;bucket:s3-backups;vpn:gateway_1,197.209.37.33;82.37.230.120,9-18,35.14,FirmwareOS 4.0,B0:41:5D:42:DD:1C,HTTPS
u_0067,user,Lagos,Nigeria,email:exchange-server;vpn:gateway_1;repo:frontend-app;files/hr/payroll.csv,51.140.64.161;78.47.86.152,8-15,27.4,EmbeddedLinux 5.1,AC:15:0E:29:17:87,SFTP
u_0068,user,Mumbai,India,/api/v1/users;dashboard:grafana;endpoint:/api/v2/refunds;dashboard:kibana;endpoint:/admin/config;bucket:s3-backups;repo:frontend-app,19.30.80.113;107.247.237.53,9-17,19.92,Android 15,49:A0:A3:B0:CC:42,MQTT
u_0069,user,Lagos,Nigeria,dashboard:grafana;vpn:gateway_1;/api/v1/orders;endpoint:/admin/config;printer:office_3;files/hr/payroll.csv;files/reports/Q1.xlsx,99.214.127.247;222.81.167.240,20-5,14.35,macOS 15,FF:EF:FF:9D:FE:0B,HTTPS
u_0070,user,Sao Paulo,Brazil,file:/home/shared/contracts;endpoint:/api/v2/payments;email:exchange-server;/api/v1/users;repo:backend-service;endpoint:/admin/config;dashboard:grafana,3.55.220.35;68.187.206.94;12.205.26.146,9-17,17.94,FirmwareOS 4.0,63:B9:93:25:C5:E6,RDP
u_0071,user,Bangalore,India,files/hr/payroll.csv;file:/home/shared/contracts;email:exchange-server;repo:backend-service;bucket:s3-backups;dashboard:kibana;repo:frontend-app,103.20.23.10;36.170.242.133;117.76.71.84,7-16,29.96,RHEL 9,99:AC:FA:99:F3:08,MQTT
u_0072,user,Tokyo,Japan,endpoint:/api/v2/payments;repo:backend-service;repo:frontend-app,68.116.26.150;123.87.194.38,6-15,18.34,Ubuntu 24.04,10:38:61:09:E1:A0,Modbus/TCP
u_0073,user,Paris,France,vpn:gateway_1;bucket:s3-backups;printer:office_3;repo:frontend-app;repo:backend-service;/api/v1/users,170.244.192.81;45.235.175.140,7-16,11.52,iOS 18,F7:62:7E:8E:98:73,MQTT
u_0074,user,Singapore,Singapore,vpn:gateway_1;email:exchange-server;dashboard:kibana;repo:backend-service,174.194.202.210;89.74.148.11;74.40.177.237,8-15,35.63,FirmwareOS 3.2,83:F5:6D:67:8A:8B,SSH
u_0075,user,London,UK,/api/v1/orders;endpoint:/api/v2/refunds;dashboard:kibana;files/hr/payroll.csv;printer:office_3;repo:backend-service;/api/v1/users,184.241.51.175;198.70.2.247,20-5,1.0,RHEL 9,F3:F4:66:93:A4:92,SFTP
u_0076,user,Los Angeles,USA,/api/v1/orders;printer:office_3;files/reports/Q1.xlsx,202.253.95.240;192.148.19.3,7-14,14.84,iOS 18,36:AB:91:E8:FC:44,RDP
u_0077,user,Dubai,UAE,endpoint:/api/v2/refunds;files/reports/Q1.xlsx;repo:frontend-app;dashboard:grafana;vpn:gateway_1,87.151.98.45;157.207.218.132;84.44.205.172,7-14,45.35,FirmwareOS 3.2,A5:7F:03:85:C4:78,Modbus/TCP
u_0078,user,Bangalore,India,/api/v1/users;endpoint:/admin/config;endpoint:/api/v2/refunds;email:exchange-server;repo:frontend-app,41.207.159.177;31.151.188.158,6-14,37.95,Ubuntu 24.04,70:44:F4:4E:E8:BF,Modbus/TCP
u_0079,user,Cape Town,South Africa,files/reports/Q1.xlsx;dashboard:kibana;dashboard:grafana;printer:office_3;repo:frontend-app;email:exchange-server,29.31.103.147;138.76.84.84;219.226.59.175,20-5,25.66,Windows 10,E4:1C:E8:43:D4:E9,RDP
u_0080,user,Los Angeles,USA,endpoint:/api/v2/payments;repo:frontend-app;/api/v1/users;file:/home/shared/contracts;endpoint:/admin/config;bucket:s3-backups;files/hr/payroll.csv,180.32.30.240;18.241.16.74,6-14,34.71,RHEL 9,5C:45:D7:BF:C3:E5,Modbus/TCP
u_0081,user,Sao Paulo,Brazil,repo:frontend-app;/api/v1/orders;files/reports/Q1.xlsx,187.114.1.194,9-18,30.33,FirmwareOS 4.0,D9:C2:75:7E:EB:B1,SSH
u_0082,user,Bangalore,India,bucket:s3-backups;endpoint:/api/v2/payments;repo:backend-service;/api/v1/users,9.228.24.63;190.22.205.113;60.111.28.36,6-13,23.2,FirmwareOS 4.0,94:77:A3:A4:79:9A,SSH
u_0083,user,Lagos,Nigeria,dashboard:kibana;/api/v1/users;vpn:gateway_1;endpoint:/api/v2/payments,110.253.24.249;89.195.163.179;107.209.76.77,7-16,10.04,FirmwareOS 3.2,7B:73:99:49:ED:1D,RDP
u_0084,user,Moscow,Russia,dashboard:grafana;endpoint:/admin/config;files/hr/payroll.csv;email:exchange-server;endpoint:/api/v2/refunds;/api/v1/orders,186.97.26.69;97.20.37.49;206.111.245.54,8-15,33.74,Android 15,9B:07:6C:61:3C:F5,SSH
u_0085,user,Seoul,South Korea,endpoint:/api/v2/refunds;repo:backend-service;endpoint:/admin/config;file:/home/shared/contracts,93.254.238.26;206.240.163.235,8-16,24.51,Windows 11,71:4A:08:85:D5:97,SSH
u_0086,user,Mumbai,India,dashboard:grafana;vpn:gateway_1;dashboard:kibana;endpoint:/api/v2/refunds;repo:backend-service,190.251.235.44;188.180.86.36;185.250.94.235,9-18,30.29,FirmwareOS 4.0,1E:11:26:18:03:D3,SSH
u_0087,user,Delhi,India,file:/home/shared/contracts;dashboard:kibana;dashboard:grafana,5.3.210.4;5.140.146.5,9-18,6.53,RHEL 9,5B:36:31:4C:7B:62,RDP
u_0088,user,Lagos,Nigeria,repo:backend-service;/api/v1/orders;email:exchange-server;file:/home/shared/contracts;dashboard:grafana,212.41.16.24;104.194.193.142;122.28.4.180,7-15,21.78,macOS 15,2A:FF:DE:A9:30:15,SSH
u_0089,user,Mumbai,India,/api/v1/orders;printer:office_3;vpn:gateway_1;endpoint:/api/v2/refunds;endpoint:/admin/config;dashboard:kibana;endpoint:/api/v2/payments,54.73.203.238,7-15,27.27,Ubuntu 24.04,C7:A9:C4:47:28:B1,HTTPS
u_0090,user,London,UK,endpoint:/api/v2/refunds;endpoint:/api/v2/payments;repo:backend-service;printer:office_3;bucket:s3-backups;file:/home/shared/contracts,70.230.251.59;92.192.221.48;175.194.43.198,8-15,24.77,EmbeddedLinux 5.1,97:7E:25:2A:89:4E,Modbus/TCP
u_0091,user,Paris,France,files/hr/payroll.csv;/api/v1/orders;/api/v1/users;endpoint:/admin/config;dashboard:grafana;email:exchange-server,48.220.229.143,6-13,12.36,Windows 11,2D:B5:2F:A6:C5:06,MQTT
u_0092,user,Moscow,Russia,dashboard:grafana;endpoint:/api/v2/payments;dashboard:kibana;files/reports/Q1.xlsx;endpoint:/api/v2/refunds;file:/home/shared/contracts,127.74.32.43;112.141.215.77,8-16,18.55,FirmwareOS 3.2,27:B8:80:7E:FD:64,Modbus/TCP
u_0093,user,London,UK,repo:backend-service;email:exchange-server;bucket:s3-backups;endpoint:/api/v2/payments,111.69.153.83;155.102.245.81,8-16,26.43,Android 15,95:FB:7C:A6:C0:8F,Modbus/TCP
u_0094,user,Sydney,Australia,email:exchange-server;endpoint:/api/v2/refunds;repo:backend-service,113.149.35.210,9-18,31.05,RHEL 9,FF:47:9B:7B:81:4E,SFTP
u_0095,user,Moscow,Russia,vpn:gateway_1;endpoint:/api/v2/payments;file:/home/shared/contracts;dashboard:kibana;repo:backend-service;bucket:s3-backups,153.43.55.197;64.181.85.166;157.22.204.248,8-17,22.44,RHEL 9,36:05:32:84:71:71,Modbus/TCP
u_0096,user,Sydney,Australia,endpoint:/admin/config;email:exchange-server;/api/v1/users;dashboard:grafana;/api/v1/orders;vpn:gateway_1,37.178.159.88;117.105.247.90;122.49.224.185,6-13,1.0,FirmwareOS 3.2,A3:22:99:16:3A:0B,MQTT
u_0097,user,London,UK,email:exchange-server;dashboard:kibana;files/reports/Q1.xlsx;vpn:gateway_1,162.94.95.164;169.221.202.8,9-16,20.36,FirmwareOS 3.2,DB:C7:02:6D:69:8E,SFTP
u_0098,user,Chicago,USA,email:exchange-server;vpn:gateway_1;printer:office_3;files/hr/payroll.csv;dashboard:grafana;/api/v1/orders;endpoint:/admin/config,81.198.200.151;30.178.180.217;118.88.152.236,9-18,1.35,EmbeddedLinux 5.1,2B:44:A0:3C:7A:9C,HTTPS
u_0099,user,Berlin,Germany,repo:backend-service;file:/home/shared/contracts;endpoint:/api/v2/payments;files/reports/Q1.xlsx;bucket:s3-backups,138.88.85.126;74.71.95.81;216.230.27.222,7-15,21.12,macOS 15,63:C4:FD:D1:FB:D4,SFTP
u_0100,user,Dubai,UAE,/api/v1/users;repo:backend-service;printer:office_3;files/hr/payroll.csv;endpoint:/admin/config;vpn:gateway_1,145.253.57.147;30.137.187.139,8-15,23.07,Windows 11,E1:6F:D9:34:7E:98,HTTPS
u_0101,user,Dubai,UAE,printer:office_3;bucket:s3-backups;/api/v1/orders;repo:backend-service;files/hr/payroll.csv,162.219.84.158;36.105.105.207;16.179.143.153,8-17,13.42,iOS 18,94:88:30:45:D2:1E,MQTT
u_0102,user,Paris,France,endpoint:/api/v2/refunds;bucket:s3-backups;files/hr/payroll.csv;repo:backend-service,148.137.212.97,9-17,19.87,FirmwareOS 3.2,26:2F:CE:8E:BC:E8,Modbus/TCP
u_0103,user,Tokyo,Japan,files/reports/Q1.xlsx;repo:frontend-app;dashboard:grafana;endpoint:/api/v2/refunds;repo:backend-service;email:exchange-server;/api/v1/orders,212.108.253.69;83.145.172.141,9-16,10.6,FirmwareOS 3.2,AF:18:17:32:EB:08,HTTPS
u_0104,user,Berlin,Germany,bucket:s3-backups;files/hr/payroll.csv;repo:frontend-app;files/reports/Q1.xlsx;endpoint:/api/v2/refunds;endpoint:/admin/config,93.128.42.96;171.84.26.102;161.156.119.110,8-15,15.92,Windows 10,30:00:6D:F4:27:43,RDP
u_0105,user,Delhi,India,/api/v1/users;repo:frontend-app;email:exchange-server;/api/v1/orders;file:/home/shared/contracts;files/reports/Q1.xlsx;dashboard:grafana,23.52.52.81;95.153.70.98,20-5,24.46,macOS 15,49:23:04:54:E1:B3,SFTP
u_0106,user,Mumbai,India,printer:office_3;bucket:s3-backups;files/hr/payroll.csv;/api/v1/orders,187.196.179.247;110.161.71.64;71.43.127.142,7-14,5.45,EmbeddedLinux 5.1,91:0D:9A:69:60:C8,MQTT
u_0107,user,Los Angeles,USA,files/hr/payroll.csv;vpn:gateway_1;dashboard:grafana;endpoint:/api/v2/refunds,34.198.215.94;140.88.241.245,6-14,25.88,EmbeddedLinux 5.1,22:07:86:6E:14:1E,Modbus/TCP
u_0108,user,Lagos,Nigeria,repo:backend-service;/api/v1/orders;endpoint:/api/v2/refunds;dashboard:kibana;vpn:gateway_1,21.104.79.138;84.200.33.80,8-15,21.69,RHEL 9,7A:1D:7D:2C:DE:3B,Modbus/TCP
u_0109,user,Seoul,South Korea,email:exchange-server;/api/v1/orders;/api/v1/users;repo:frontend-app;files/reports/Q1.xlsx;bucket:s3-backups;repo:backend-service,201.132.85.96;33.137.60.198;8.171.219.70,8-17,14.28,EmbeddedLinux 5.1,27:FE:E9:B8:1C:FF,RDP
u_0110,user,Berlin,Germany,files/hr/payroll.csv;printer:office_3;endpoint:/api/v2/payments;endpoint:/api/v2/refunds;repo:frontend-app,131.1.22.220;221.6.125.12;121.186.196.236,20-5,20.83,macOS 15,5B:12:D6:72:A4:7F,Modbus/TCP
u_0111,user,Tokyo,Japan,repo:frontend-app;/api/v1/orders;dashboard:kibana;endpoint:/api/v2/refunds;/api/v1/users,120.144.159.84,6-14,31.46,Android 15,66:95:9B:7C:ED:BC,RDP
u_0112,user,Toronto,Canada,/api/v1/users;printer:office_3;file:/home/shared/contracts;vpn:gateway_1,3.171.0.195;169.192.157.27;53.121.214.126,8-17,27.71,Windows 11,48:8F:2F:16:76:D3,SFTP
u_0113,user,Sydney,Australia,files/hr/payroll.csv;dashboard:kibana;files/reports/Q1.xlsx;endpoint:/api/v2/refunds;file:/home/shared/contracts;/api/v1/orders,34.121.149.67;218.161.201.180;213.167.162.116,6-14,21.46,Ubuntu 24.04,45:37:4F:36:54:E6,Modbus/TCP
u_0114,user,Tokyo,Japan,repo:frontend-app;repo:backend-service;files/hr/payroll.csv;dashboard:grafana;endpoint:/admin/config;printer:office_3,207.155.20.56,6-13,25.9,Android 15,4B:2E:7F:B6:CA:19,SFTP
u_0115,user,Singapore,Singapore,repo:backend-service;bucket:s3-backups;dashboard:grafana;dashboard:kibana;repo:frontend-app,206.71.62.4,6-14,38.14,Ubuntu 24.04,42:65:CD:BE:2B:84,HTTPS
u_0116,user,New York,USA,printer:office_3;repo:backend-service;files/reports/Q1.xlsx,32.21.236.13;44.221.202.128,20-5,28.58,Windows 11,C3:DA:58:B5:6D:5F,MQTT
